"NguonNhapID","Ten","DiaChi","TinhThanh","QuocGia","DienThoai","Fax","GhiChu","Email","WebSite","Loai","HienThi"
1,,,,,,,,,,NHAPNCC,1
2,CÔNG TY TNHH THÀNH AN – HÀ NỘI,"Số 178, ngõ 170, đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, TP. Hà Nội",Thành phố Hà Nội,Việt Nam,"","","",                                                  ,                                                  ,NHAPNCC,1
3,CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VĨNH ĐỨC,"62/15 Phú Thọ Hòa, P. Hoà Thanh, Q. Tân Phú, TP. HCM",Thành phố Hồ Chí Minh,Việt Nam,"","","",                                                  ,                                                  ,NHAPNCC,1
4, Ireland,,,,,,,,,NHAPNCC,1
5, Mỹ,,,,,,,,,NHAPNCC,1
6, Thái Lan/ Nhật,,,,,,,,,NHAPNCC,1
7,"
Hà Lan",,,,,,,,,NHAPNCC,1
8,"
Nhật",,,,,,,,,NHAPNCC,1
9,(Mekopha - VN),,,,,,,,,,1
10,(Vinpharco),,,,,,,,,,1
11,"02 Việt Nam - Cty cổ phần 02 Việt Nam","",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
12,"11B",,,,,,,,,,1
13,"1stQ GmbH",,,,,,,,,,1
14,"1stQ GmbH/ Đức",,,,,,,,,,1
15,"2-9 - Cty CP DP 2-9 TP.HCM",hoàng hoa thám Q.10,An Giang,Việt nam,"666-666-6666","","",                                                  ,                                                  ,NHAPNCC,1
16,"3 M",,,,,,,,,,1
17,"3 tháng 2",,,,,,,,,,1
18,"3/2",,,,,,,,,NHAPNCC,1
19,"3/2 - Cty CPDP 3/2",tp hô chi minh,Thành phố Hồ Chí Minh,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
20,"3M",,,,,,,,,,1
21,"3M - Canada",,,,,,,,,,1
22,"3M - Mỹ",,,,,,,,,,1
23,"3M - Thái Lan",,,,,,,,,,1
24,"3M - Việt Nam",,,,,,,,,,1
25,"3M HealthCarre",,,,,,,,,,1
26,"3S Invest",,,,,,,,,,1
27,"77 Elektronika",,,,,,,,,,1
28,"9Glens",,,,,,,,,,1
29,A & E/ Việt Nam,,,,,,,,,,1
30,Á Châu,,,,,,,,,,1
31,Á Châu - Cty TNHH TBYT Á Châu,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
32,Á Châu/ Việt Nam,,,,,,,,,,1
33,Á Đông - Cty TNHH Dược & TTBYT Á Đông,"",Kiên Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
34,A&E Medical,,,,,,,,,,1
35,A. Menarini Manufacturing Logistics and Services S.r.l - Italy,,,,,,,,,,1
36,A.C.T - Công ty TNHH Dược phẩm A.C.T,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
37,A.N.B Laboratories Co,,,,,,,,,,1
38,A.N.B. Laboratories,,,,,,,,,,1
39,"A.N.B. Laboratories Co., Ltd.",,,,,,,,,,1
40,A.N.B.Laboratories Co. Ltd,,,,,,,,,,1
41,A/S - Johnson,,,,,,,,,,1
42,AB Sanitas,,,,,,,,,,1
43,Abbot Vascular,,,,,,,,,,1
44,Abbott,,,,,,,,,,1
45,Abbott Biologicals B.V,,,,,,,,,,1
46,Abbott Biologicals B.V - Hà Lan,,,,,,,,,,1
47,"Abbott Biologicals B.V- Hà Lan, Hà Lan",,,,,,,,,,1
48,"Abbott Diabetes Care, Anh",,,,,,,,,,1
49,Abbott Healthcare SAS,,,,,,,,,,1
50,"Abbott Healthcare SAS- Pháp,",,,,,,,,,,1
51,Abbott Laboratories,,,,,,,,,,1
52,"Abbott Laboratories  - Mỹ, Mỹ",,,,,,,,,,1
53,Abbott Laboratories- Indonesia,,,,,,,,,,1
54,Abbott Laboratories- Nhật,,,,,,,,,,1
55,Abbott Point of Care,,,,,,,,,,1
57,Abbott Vascular,,,,,,,,,NHAPNCC,1
58,Abbott Vascular-Mỹ/Ireland/Costa Rica/Thụy Sỹ/Puerto Rico,,,,,,,,,,1
59,Abbott/AMO,,,,,,,,,,1
60,Abbott/AMO - Mỹ,,,,,,,,,,1
61,Abbout,,,,,,,,,,1
62,Abbvie,,,,,,,,,,1
63,"AbbVie Inc,",,,,,,,,,,1
64,Abon,,,,,,,,,,1
65,Abon - USA,,,,,,,,,,1
66,Abon biopharm,,,,,,,,,,1
67,Abon Biopharm - Trung Quốc,,,,,,,,,,1
68,"Abon Biopharm Co., Ltd",,,,,,,,,,1
69,"Abon Biopharrm Co., Ltd",,,,,,,,,,1
70,Abon/ Trung Quốc,,,,,,,,,,1
71,About Vascular,,,,,,,,,NHAPNCC,1
72,Abtek - Anh,,,,,,,,,,1
73,ÁC HEN TI NA,,,,,,,,,,1
74,Accucheck Roche,,,,,,,,,,1
75,"ACI Pharma PVT., Ltd - Ấn Độ",,,,,,,,,,1
76,"ACI Pharma PVT.,Ltd",,,,,,,,,,1
77,Acme Formulation (P) Ltd,,,,,,,,,,1
78,"Acme Formulation, India",,,,,,,,,,1
79,Acon - China,,,,,,,,,,1
80,Acrostak,,,,,,,,,,1
81,ACS Dobfar info SA,,,,,,,,,,1
82,ACS Dobfar S.P.A,,,,,,,,,,1
83,"ACS Dobfar S.P.A - Ý, Ý đóng gói Anh",,,,,,,,,,1
84,ACS Dobfar S.P.A c¬ së ®ãng gãi 1:Zambon Switzerland Ltd./ c¬ së ®ãng gãi 2: AstraZeneca,,,,,,,,,,1
85,"ACS Dobfar S.P.A, cs 1:Zambon Switzerland, CS 2: AstraZeneca UK Limited",,,,,,,,,,1
86,"ACS Dobfar S.P.A, cs đóng gói 1:Zambon Switzerland",,,,,,,,,,1
87,ACS Dobfar S.P.A; cơ sở đóng gói 1:Zambon Switz,,,,,,,,,,1
88,ACS Dobfar S.P.A; cơ sở đóng gói 1:Zambon Switzerland Ltd./ cơ sở đóng gói 2: AstraZeneca UK Limited,,,,,,,,,,1
89,ACS Dobfar S.P.A; đóng gói 1:Zambon Switzerl,,,,,,,,,,1
90,ACS DOBFAR SPA,,,,,,,,,,1
91,ACS Dobfarinfo SA,,,,,,,,,,1
92,Actavis  Ltd,,,,,,,,,,1
93,Actavis - UK,,,,,,,,,,1
94,Actavis ehf,,,,,,,,,,1
95,Actavis HF,,,,,,,,,,1
96,Actavis Italy S.P.A,,,,,,,,,,1
97,Actavis Italy S.P.A - Ý,,,,,,,,,,1
98,"Actavis Italy S.P.A- Ý, Ý",,,,,,,,,,1
